,concede,goal,margin,mode,opponent,season
0,5.0,1.0,-4.0,A,Manchester United,2006
1,1.0,1.0,0.0,H,Bolton Wanderers,2006
2,0.0,1.0,1.0,H,Sheffield United,2006
3,1.0,2.0,1.0,A,Newcastle United,2006
4,0.0,0.0,-0.0,A,Tottenham Hotspur,2006
5,2.0,0.0,-2.0,H,Chelsea,2006
6,3.0,3.0,-0.0,A,Watford,2006
7,1.0,2.0,1.0,H,Charlton Athletic,2006
8,1.0,1.0,-0.0,A,Aston Villa,2006
9,1.0,0.0,-1.0,H,Wigan Athletic,2006
10,0.0,1.0,1.0,H,Everton,2006
11,1.0,1.0,-0.0,A,Portsmouth,2006
12,3.0,1.0,-2.0,A,Manchester City,2006
13,1.0,0.0,-1.0,H,Reading,2006
14,1.0,2.0,1.0,H,Arsenal,2006
15,2.0,0.0,-2.0,A,Blackburn Rovers,2006
16,4.0,0.0,-4.0,A,Liverpool,2006
17,1.0,2.0,1.0,H,Middlesbrough,2006
18,0.0,0.0,0.0,H,West Ham United,2006
19,2.0,2.0,-0.0,A,Charlton Athletic,2006
20,2.0,2.0,-0.0,A,Chelsea,2006
21,0.0,0.0,0.0,H,Watford,2006
22,3.0,3.0,-0.0,A,West Ham United,2006
23,1.0,1.0,0.0,H,Tottenham Hotspur,2006
24,2.0,0.0,-2.0,A,Sheffield United,2006
25,1.0,2.0,1.0,H,Newcastle United,2006
26,2.0,1.0,-1.0,A,Bolton Wanderers,2006
27,2.0,1.0,-1.0,H,Manchester United,2006
28,1.0,1.0,0.0,H,Aston Villa,2006
29,0.0,0.0,-0.0,A,Wigan Athletic,2006
30,1.0,1.0,0.0,H,Portsmouth,2006
31,4.0,1.0,-3.0,A,Everton,2006
32,3.0,1.0,-2.0,H,Manchester City,2006
33,1.0,0.0,-1.0,A,Reading,2006
34,1.0,1.0,0.0,H,Blackburn Rovers,2006
35,3.0,1.0,-2.0,A,Arsenal,2006
36,0.0,1.0,1.0,H,Liverpool,2006
37,3.0,1.0,-2.0,A,Middlesbrough,2006
38,2.0,1.0,-1.0,A,Arsenal,2007
